date,year,month,price_usd,unit,mineral
2006-05-01,2006,5,42.28,Dólar por Libra (USD/lb),Uranio (U)
2006-06-01,2006,6,44.17,Dólar por Libra (USD/lb),Uranio (U)
2006-07-01,2006,7,46.5,Dólar por Libra (USD/lb),Uranio (U)
2006-08-01,2006,8,47.44,Dólar por Libra (USD/lb),Uranio (U)
2006-09-01,2006,9,52.44,Dólar por Libra (USD/lb),Uranio (U)
2006-10-01,2006,10,56.06,Dólar por Libra (USD/lb),Uranio (U)
2006-11-01,2006,11,61.44,Dólar por Libra (USD/lb),Uranio (U)
2006-12-01,2006,12,66.57,Dólar por Libra (USD/lb),Uranio (U)
2007-01-01,2007,1,72.0,Dólar por Libra (USD/lb),Uranio (U)
2007-02-01,2007,2,76.25,Dólar por Libra (USD/lb),Uranio (U)
2007-03-01,2007,3,89.44,Dólar por Libra (USD/lb),Uranio (U)
2007-04-01,2007,4,110.43,Dólar por Libra (USD/lb),Uranio (U)
2007-05-01,2007,5,119.11,Dólar por Libra (USD/lb),Uranio (U)
2007-06-01,2007,6,136.22,Dólar por Libra (USD/lb),Uranio (U)
2007-07-01,2007,7,131.5,Dólar por Libra (USD/lb),Uranio (U)
2007-08-01,2007,8,109.6,Dólar por Libra (USD/lb),Uranio (U)
2007-09-01,2007,9,85.0,Dólar por Libra (USD/lb),Uranio (U)
2007-10-01,2007,10,77.5,Dólar por Libra (USD/lb),Uranio (U)
2007-11-01,2007,11,92.0,Dólar por Libra (USD/lb),Uranio (U)
2007-12-01,2007,12,91.8,Dólar por Libra (USD/lb),Uranio (U)
2008-01-01,2008,1,87.56,Dólar por Libra (USD/lb),Uranio (U)
2008-02-01,2008,2,76.0,Dólar por Libra (USD/lb),Uranio (U)
2008-03-01,2008,3,73.71,Dólar por Libra (USD/lb),Uranio (U)
2008-04-01,2008,4,69.44,Dólar por Libra (USD/lb),Uranio (U)
2008-05-01,2008,5,61.67,Dólar por Libra (USD/lb),Uranio (U)
2008-06-01,2008,6,59.0,Dólar por Libra (USD/lb),Uranio (U)
2008-07-01,2008,7,61.84,Dólar por Libra (USD/lb),Uranio (U)
2008-08-01,2008,8,64.5,Dólar por Libra (USD/lb),Uranio (U)
2008-09-01,2008,9,63.0,Dólar por Libra (USD/lb),Uranio (U)
2008-10-01,2008,10,48.6,Dólar por Libra (USD/lb),Uranio (U)
2008-11-01,2008,11,50.5,Dólar por Libra (USD/lb),Uranio (U)
2008-12-01,2008,12,54.33,Dólar por Libra (USD/lb),Uranio (U)
2009-01-01,2009,1,51.44,Dólar por Libra (USD/lb),Uranio (U)
2009-02-01,2009,2,47.0,Dólar por Libra (USD/lb),Uranio (U)
2009-03-01,2009,3,43.38,Dólar por Libra (USD/lb),Uranio (U)
2009-04-01,2009,4,41.72,Dólar por Libra (USD/lb),Uranio (U)
2009-05-01,2009,5,48.56,Dólar por Libra (USD/lb),Uranio (U)
2009-06-01,2009,6,51.5,Dólar por Libra (USD/lb),Uranio (U)
2009-07-01,2009,7,49.7,Dólar por Libra (USD/lb),Uranio (U)
2009-08-01,2009,8,47.19,Dólar por Libra (USD/lb),Uranio (U)
2009-09-01,2009,9,44.28,Dólar por Libra (USD/lb),Uranio (U)
2009-10-01,2009,10,46.11,Dólar por Libra (USD/lb),Uranio (U)
2009-11-01,2009,11,44.75,Dólar por Libra (USD/lb),Uranio (U)
2009-12-01,2009,12,44.44,Dólar por Libra (USD/lb),Uranio (U)
2010-01-01,2010,1,43.83,Dólar por Libra (USD/lb),Uranio (U)
2010-02-01,2010,2,42.1,Dólar por Libra (USD/lb),Uranio (U)
2010-03-01,2010,3,40.91,Dólar por Libra (USD/lb),Uranio (U)
2010-04-01,2010,4,41.33,Dólar por Libra (USD/lb),Uranio (U)
2010-05-01,2010,5,41.3,Dólar por Libra (USD/lb),Uranio (U)
2010-06-01,2010,6,40.78,Dólar por Libra (USD/lb),Uranio (U)
2010-07-01,2010,7,41.94,Dólar por Libra (USD/lb),Uranio (U)
2010-08-01,2010,8,46.06,Dólar por Libra (USD/lb),Uranio (U)
2010-09-01,2010,9,46.67,Dólar por Libra (USD/lb),Uranio (U)
2010-10-01,2010,10,48.83,Dólar por Libra (USD/lb),Uranio (U)
2010-11-01,2010,11,57.16,Dólar por Libra (USD/lb),Uranio (U)
2010-12-01,2010,12,60.62,Dólar por Libra (USD/lb),Uranio (U)
2011-01-01,2011,1,63.88,Dólar por Libra (USD/lb),Uranio (U)
2011-02-01,2011,2,65.0,Dólar por Libra (USD/lb),Uranio (U)
2011-03-01,2011,3,63.5,Dólar por Libra (USD/lb),Uranio (U)
2011-04-01,2011,4,57.82,Dólar por Libra (USD/lb),Uranio (U)
2011-05-01,2011,5,56.06,Dólar por Libra (USD/lb),Uranio (U)
2011-06-01,2011,6,55.4,Dólar por Libra (USD/lb),Uranio (U)
2011-07-01,2011,7,52.79,Dólar por Libra (USD/lb),Uranio (U)
2011-08-01,2011,8,50.68,Dólar por Libra (USD/lb),Uranio (U)
2011-09-01,2011,9,51.98,Dólar por Libra (USD/lb),Uranio (U)
2011-10-01,2011,10,52.34,Dólar por Libra (USD/lb),Uranio (U)
2011-11-01,2011,11,53.19,Dólar por Libra (USD/lb),Uranio (U)
2011-12-01,2011,12,52.18,Dólar por Libra (USD/lb),Uranio (U)
2012-01-01,2012,1,52.31,Dólar por Libra (USD/lb),Uranio (U)
2012-02-01,2012,2,52.06,Dólar por Libra (USD/lb),Uranio (U)
2012-03-01,2012,3,51.29,Dólar por Libra (USD/lb),Uranio (U)
2012-04-01,2012,4,51.3,Dólar por Libra (USD/lb),Uranio (U)
2012-05-01,2012,5,51.89,Dólar por Libra (USD/lb),Uranio (U)
2012-06-01,2012,6,50.83,Dólar por Libra (USD/lb),Uranio (U)
2012-07-01,2012,7,50.36,Dólar por Libra (USD/lb),Uranio (U)
2012-08-01,2012,8,49.25,Dólar por Libra (USD/lb),Uranio (U)
2012-09-01,2012,9,47.73,Dólar por Libra (USD/lb),Uranio (U)
2012-10-01,2012,10,44.61,Dólar por Libra (USD/lb),Uranio (U)
2012-11-01,2012,11,41.5,Dólar por Libra (USD/lb),Uranio (U)
2012-12-01,2012,12,43.67,Dólar por Libra (USD/lb),Uranio (U)
2013-01-01,2013,1,42.75,Dólar por Libra (USD/lb),Uranio (U)
2013-02-01,2013,2,43.41,Dólar por Libra (USD/lb),Uranio (U)
2013-03-01,2013,3,42.28,Dólar por Libra (USD/lb),Uranio (U)
2013-04-01,2013,4,41.41,Dólar por Libra (USD/lb),Uranio (U)
2013-05-01,2013,5,40.6,Dólar por Libra (USD/lb),Uranio (U)
2013-06-01,2013,6,39.94,Dólar por Libra (USD/lb),Uranio (U)
2013-07-01,2013,7,38.02,Dólar por Libra (USD/lb),Uranio (U)
2013-08-01,2013,8,34.99,Dólar por Libra (USD/lb),Uranio (U)
2013-09-01,2013,9,34.45,Dólar por Libra (USD/lb),Uranio (U)
2013-10-01,2013,10,34.85,Dólar por Libra (USD/lb),Uranio (U)
2013-11-01,2013,11,35.59,Dólar por Libra (USD/lb),Uranio (U)
2013-12-01,2013,12,34.59,Dólar por Libra (USD/lb),Uranio (U)
2014-01-01,2014,1,35.21,Dólar por Libra (USD/lb),Uranio (U)
2014-02-01,2014,2,35.55,Dólar por Libra (USD/lb),Uranio (U)
2014-03-01,2014,3,34.7,Dólar por Libra (USD/lb),Uranio (U)
2014-04-01,2014,4,32.74,Dólar por Libra (USD/lb),Uranio (U)
2014-05-01,2014,5,28.54,Dólar por Libra (USD/lb),Uranio (U)
2014-06-01,2014,6,28.23,Dólar por Libra (USD/lb),Uranio (U)
2014-07-01,2014,7,28.4,Dólar por Libra (USD/lb),Uranio (U)
2014-08-01,2014,8,30.83,Dólar por Libra (USD/lb),Uranio (U)
2014-09-01,2014,9,34.37,Dólar por Libra (USD/lb),Uranio (U)
2014-10-01,2014,10,35.75,Dólar por Libra (USD/lb),Uranio (U)
2014-11-01,2014,11,40.6,Dólar por Libra (USD/lb),Uranio (U)
2014-12-01,2014,12,36.95,Dólar por Libra (USD/lb),Uranio (U)
2015-01-01,2015,1,35.9,Dólar por Libra (USD/lb),Uranio (U)
2015-02-01,2015,2,38.19,Dólar por Libra (USD/lb),Uranio (U)
2015-03-01,2015,3,39.32,Dólar por Libra (USD/lb),Uranio (U)
2015-04-01,2015,4,38.84,Dólar por Libra (USD/lb),Uranio (U)
2015-05-01,2015,5,35.69,Dólar por Libra (USD/lb),Uranio (U)
2015-06-01,2015,6,36.05,Dólar por Libra (USD/lb),Uranio (U)
2015-07-01,2015,7,36.28,Dólar por Libra (USD/lb),Uranio (U)
2015-08-01,2015,8,36.1,Dólar por Libra (USD/lb),Uranio (U)
2015-09-01,2015,9,37.06,Dólar por Libra (USD/lb),Uranio (U)
2015-10-01,2015,10,37.24,Dólar por Libra (USD/lb),Uranio (U)
2015-11-01,2015,11,35.96,Dólar por Libra (USD/lb),Uranio (U)
2015-12-01,2015,12,35.16,Dólar por Libra (USD/lb),Uranio (U)
2016-01-01,2016,1,34.69,Dólar por Libra (USD/lb),Uranio (U)
